City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,al bawiti,28.3492,28.8659,295.55,34,0,2.0,EG,1702647862
328,sarandi del yi,-33.35,-55.6333,301.94,68,100,5.07,UY,1702647864
329,nemuro,43.3236,145.575,271.26,74,100,0.49,JP,1702647864
330,masterton,-40.9597,175.6575,287.53,82,84,3.43,NZ,1702647865
331,remire-montjoly,4.9167,-52.2667,300.17,89,75,6.17,GF,1702647866
332,berezovyy,51.6667,135.7,247.22,76,1,1.63,RU,1702647867
333,codrington,-38.2667,141.9667,282.2,85,67,4.44,AU,1702647867
334,torbat-e heydariyeh,35.274,59.2195,278.34,66,83,3.7,IR,1702647868
335,ketchikan,55.3422,-131.6461,281.14,70,100,8.23,US,1702647869
336,constitucion,-35.3333,-72.4167,289.0,55,31,1.95,CL,1702647870
337,katsuren-haebaru,26.3369,127.8719,296.16,83,20,2.06,JP,1702647871
338,ta`u,-14.2336,-169.5144,299.9,86,96,7.59,AS,1702647872
339,waingapu,-9.6567,120.2641,300.15,74,87,3.92,ID,1702647873
340,sabha,27.0377,14.4283,293.63,30,0,7.72,LY,1702647874
341,gorontalo,0.5412,123.0595,297.52,95,95,1.72,ID,1702647874
342,lospalos,-8.5186,127.0025,296.08,92,100,1.85,TL,1702647875
343,susanville,40.4163,-120.653,267.06,93,0,1.54,US,1702647876
344,weston,26.1004,-80.3998,296.48,66,100,9.26,US,1702647623
345,kindu,-2.95,25.95,299.57,82,81,1.64,CD,1702647878
346,asha,54.9973,57.2722,258.81,92,18,1.79,RU,1702647880
347,hotan,37.0997,79.9269,268.23,44,7,1.6,CN,1702647881
348,port lincoln,-34.7333,135.8667,287.54,70,9,5.04,AU,1702647882
349,nizhniy lomov,53.5304,43.6766,266.09,94,100,8.05,RU,1702647883
350,east london,-33.0153,27.9116,291.67,94,100,2.06,ZA,1702647884
351,sayat,38.7839,63.8803,274.08,41,100,4.21,TM,1702647885
352,kill devil hills,36.0307,-75.676,279.81,79,0,0.0,US,1702647886
353,bousso,10.4795,16.7117,307.5,13,100,2.48,TD,1702647886
354,kidal,18.4411,1.4078,301.8,7,43,5.06,ML,1702647887
355,deland,29.0283,-81.3031,293.23,69,40,5.66,US,1702647888
356,ebon,4.582,168.6964,300.12,82,100,3.49,MH,1702647889
357,niimi,34.9833,133.4667,286.23,96,100,2.08,JP,1702647889
358,punta arenas,-53.15,-70.9167,285.21,58,75,4.12,CL,1702647890
359,ilek,51.5271,53.3831,264.91,49,14,5.57,RU,1702647890
360,lundazi,-12.2929,33.1782,305.08,26,24,7.06,ZM,1702647891
361,florida,28.7505,-82.5001,290.97,81,100,7.57,US,1702647892
362,sovetskaya gavan',48.9723,140.2878,253.21,75,13,3.34,RU,1702647892
